date,download,upload
"2016-07-27T19:17:08.649933","133.103584208 Mb/s","33.6085000671 Mb/s"
"2016-07-28T10:27:37.307099","44.121604308 Mb/s","40.6942835596 Mb/s"
"2016-07-28T10:28:43.045604","91.9130625265 Mb/s","9.54981090846 Mb/s"
"2016-07-28T10:29:36.620671","136.117143931 Mb/s","14.5172949569 Mb/s"
"2016-07-28T10:30:32.408111","52.6803795757 Mb/s","25.4338634762 Mb/s"
"2016-07-28T10:31:31.318200","47.895394772 Mb/s","42.5487613097 Mb/s"
"2016-07-28T11:30:40.060719","54.2091019845 Mb/s","41.3322538074 Mb/s"
"2016-07-28T12:00:53.828022","35.2057160222 Mb/s","22.9574522834 Mb/s"
"2016-07-28T12:30:47.905356","44.8366433762 Mb/s","38.9211960799 Mb/s"
"2016-07-28T13:00:27.284575","59.6761250737 Mb/s","34.3528979038 Mb/s"
"2016-07-28T13:30:44.290441","37.6459000944 Mb/s","40.6466438416 Mb/s"
"2016-07-28T14:00:34.684723","45.127693041 Mb/s","38.3729018893 Mb/s"
"2016-07-28T14:30:33.008191","69.594227211 Mb/s","45.5074174703 Mb/s"
"2016-07-28T15:00:42.290885","39.1839850512 Mb/s","40.8805101934 Mb/s"
"2016-07-28T15:30:58.599226","50.975209208 Mb/s","42.0782695998 Mb/s"
"2016-07-28T16:00:34.218269","35.8095985712 Mb/s","35.8838884143 Mb/s"
"2016-07-28T16:30:36.900376","42.9428752454 Mb/s","35.6648037584 Mb/s"
"2016-07-28T17:00:51.999018","40.7829609147 Mb/s","38.653256411 Mb/s"
"2016-07-28T17:30:39.306018","28.1160600033 Mb/s","32.8292609987 Mb/s"
"2016-07-28T18:00:48.674184","47.0140429168 Mb/s","34.1194369523 Mb/s"
"2016-07-28T18:31:04.284493","40.8005105452 Mb/s","37.6663050332 Mb/s"
"2016-07-28T19:00:32.383280","81.6126521923 Mb/s","22.2423460801 Mb/s"
"2016-07-28T19:31:02.186482","47.944168595 Mb/s","43.4663017857 Mb/s"
"2016-07-28T20:00:28.872283","81.0448404971 Mb/s","44.750360749 Mb/s"
"2016-07-28T20:30:29.694194","91.5182274054 Mb/s","39.3276704465 Mb/s"
"2016-07-28T21:00:41.403515","154.207328549 Mb/s","26.4654959418 Mb/s"
"2016-07-28T21:30:36.700846","125.589525683 Mb/s","33.4053412343 Mb/s"
"2016-07-28T22:00:40.137289","79.4095012742 Mb/s","34.0648554744 Mb/s"
"2016-07-28T22:30:43.533414","46.5217858808 Mb/s","33.5397602303 Mb/s"
"2016-07-28T23:01:23.602081","39.5354443009 Mb/s","22.1882264514 Mb/s"
"2016-07-28T23:30:35.815076","75.5636913501 Mb/s","43.4526003212 Mb/s"
"2016-07-29T00:00:27.692979","104.747188141 Mb/s","42.1303194439 Mb/s"
"2016-07-29T00:30:28.738140","47.711448009 Mb/s","44.3015307937 Mb/s"
"2016-07-29T01:00:48.379313","36.3889039184 Mb/s","42.543657103 Mb/s"
"2016-07-29T01:30:35.930068","34.4201214976 Mb/s","44.6202629142 Mb/s"
"2016-07-29T02:00:32.522639","22.0920026196 Mb/s","37.3017533726 Mb/s"
"2016-07-29T02:30:32.242783","50.4883005557 Mb/s","42.6779352981 Mb/s"
"2016-07-29T03:00:28.204230","74.3639811513 Mb/s","49.9666693861 Mb/s"
"2016-07-29T03:30:26.292060","88.2685829027 Mb/s","42.92207008 Mb/s"
"2016-07-29T04:00:25.295910","56.4812315114 Mb/s","41.3092293327 Mb/s"
"2016-07-29T04:30:26.486122","156.723729231 Mb/s","46.1176282225 Mb/s"
"2016-07-29T05:00:28.242366","89.1865013796 Mb/s","42.0165668772 Mb/s"
"2016-07-29T05:30:23.239702","72.0253495764 Mb/s","43.7951604617 Mb/s"
"2016-07-29T06:00:23.481147","155.968664152 Mb/s","40.7130387633 Mb/s"
"2016-07-29T06:30:35.105724","27.981158359 Mb/s","45.3402634941 Mb/s"
"2016-07-29T07:00:35.593438","31.1475873093 Mb/s","44.214899373 Mb/s"
"2016-07-29T07:30:22.814063","95.1826229645 Mb/s","29.5447539055 Mb/s"
"2016-07-29T08:00:28.090667","56.1567488621 Mb/s","42.1869475198 Mb/s"
"2016-07-29T08:30:18.670656","105.325818164 Mb/s","44.9386482953 Mb/s"
"2016-07-29T09:00:24.282905","129.081566977 Mb/s","39.1766954775 Mb/s"
"2016-07-29T09:30:25.303150","125.348410914 Mb/s","46.171089225 Mb/s"
"2016-07-29T10:00:49.845074","65.0273450457 Mb/s","26.8970052956 Mb/s"
"2016-07-29T10:30:31.966049","56.7111310356 Mb/s","44.8679170773 Mb/s"
"2016-07-29T11:00:47.156314","50.8666085697 Mb/s","36.1832060123 Mb/s"
"2016-07-29T11:30:45.441160","42.7836104517 Mb/s","34.9797283827 Mb/s"
"2016-07-29T12:00:59.310066","25.731763778 Mb/s","14.4620510292 Mb/s"
"2016-07-29T12:30:22.599704","134.423014327 Mb/s","63.4321052629 Mb/s"
"2016-07-29T13:00:33.100438","72.3701820603 Mb/s","37.3884554863 Mb/s"
"2016-07-29T13:30:27.211680","124.791877153 Mb/s","42.8545008876 Mb/s"
"2016-07-29T14:00:37.211816","96.3771069053 Mb/s","28.7684746316 Mb/s"
"2016-07-29T14:30:28.170449","33.4051276867 Mb/s","38.8827786356 Mb/s"
"2016-07-29T15:00:39.095141","84.3840248351 Mb/s","38.0900368347 Mb/s"
"2016-07-29T15:30:21.906614","123.505607168 Mb/s","28.2959687458 Mb/s"
"2016-07-29T16:00:29.955779","44.8434133251 Mb/s","43.5109364188 Mb/s"
"2016-07-29T16:30:28.261220","128.04824742 Mb/s","45.6970645158 Mb/s"
"2016-07-29T17:00:36.123947","60.6082796411 Mb/s","47.1037639883 Mb/s"
"2016-07-29T17:30:31.487631","69.6440869899 Mb/s","34.3608379984 Mb/s"
"2016-07-29T18:00:23.384175","84.5261256216 Mb/s","39.1051720348 Mb/s"
"2016-07-29T18:30:35.009672","35.1242626092 Mb/s","35.8582739765 Mb/s"
"2016-07-29T19:00:30.502448","46.2814711407 Mb/s","27.1091924295 Mb/s"
"2016-07-29T19:30:47.454849","57.7868516336 Mb/s","30.4208595284 Mb/s"
"2016-07-29T20:00:27.131647","147.278955279 Mb/s","37.5478234813 Mb/s"
"2016-07-29T20:30:30.393705","116.648130635 Mb/s","38.0918933251 Mb/s"
"2016-07-29T21:00:25.597308","109.758207306 Mb/s","45.8350128225 Mb/s"
"2016-07-29T21:30:25.167999","106.238506335 Mb/s","44.6184591721 Mb/s"
"2016-07-29T22:00:39.148822","96.7899326841 Mb/s","40.7202457568 Mb/s"
"2016-07-29T22:30:22.900706","100.517033241 Mb/s","43.1429397636 Mb/s"
"2016-07-29T23:00:58.018937","65.888014926 Mb/s","43.8435743863 Mb/s"
"2016-07-29T23:30:33.076641","134.636983341 Mb/s","14.2044735684 Mb/s"
"2016-07-30T00:00:34.440853","71.712990225 Mb/s","40.9058169701 Mb/s"
"2016-07-30T00:30:23.345889","140.073144125 Mb/s","40.0629586142 Mb/s"
"2016-07-30T01:00:25.584113","47.8023744572 Mb/s","39.0615348255 Mb/s"
"2016-07-30T01:30:31.358483","124.469372739 Mb/s","34.679728483 Mb/s"
"2016-07-30T02:00:32.512537","86.7783629163 Mb/s","40.0429266657 Mb/s"
"2016-07-30T02:30:29.813919","87.0517688209 Mb/s","44.5783588586 Mb/s"
"2016-07-30T03:00:21.775449","126.014161111 Mb/s","35.8496942469 Mb/s"
"2016-07-30T03:30:26.806223","146.743650754 Mb/s","44.8157536321 Mb/s"
"2016-07-30T04:00:32.551363","70.9338107184 Mb/s","34.6252047524 Mb/s"
"2016-07-30T04:30:38.125811","73.3089783425 Mb/s","39.2476412181 Mb/s"
"2016-07-30T05:00:41.946644","58.8852277249 Mb/s","33.0793411856 Mb/s"
"2016-07-30T05:30:24.620920","55.3690180676 Mb/s","43.5114148854 Mb/s"
"2016-07-30T06:00:48.212310","74.6355013358 Mb/s","31.6366970746 Mb/s"
"2016-07-30T06:30:27.855091","88.2782779004 Mb/s","39.913732399 Mb/s"
"2016-07-30T07:00:37.625326","109.835362833 Mb/s","33.6569439303 Mb/s"
"2016-07-30T07:30:31.070050","74.6922375995 Mb/s","36.7545802583 Mb/s"
"2016-07-30T08:00:23.741372","149.368033983 Mb/s","30.6700197612 Mb/s"
"2016-07-30T08:30:29.427162","106.685955951 Mb/s","39.6346813991 Mb/s"
"2016-07-30T09:00:25.070094","167.269477632 Mb/s","41.776625437 Mb/s"
"2016-07-30T09:30:31.485685","65.9277511134 Mb/s","40.315364533 Mb/s"
"2016-07-30T10:00:18.312074","51.5266973901 Mb/s","41.4273339249 Mb/s"
"2016-07-30T10:30:44.760482","46.1529494784 Mb/s","42.5901148144 Mb/s"
"2016-07-30T11:00:22.088069","73.5616215775 Mb/s","32.9982591895 Mb/s"
"2016-07-30T11:30:38.891894","78.7740357661 Mb/s","35.2370931348 Mb/s"
"2016-07-30T12:00:22.836729","112.73132291 Mb/s","38.7435115474 Mb/s"
"2016-07-30T12:30:24.915753","77.9780462651 Mb/s","40.5347940642 Mb/s"
"2016-07-30T13:00:32.607332","59.8353924548 Mb/s","44.2150392042 Mb/s"
"2016-07-30T13:30:27.953362","107.483588149 Mb/s","28.740253575 Mb/s"
"2016-07-30T14:00:24.600626","99.1327172306 Mb/s","42.3488701875 Mb/s"
"2016-07-30T14:30:24.348721","58.4177185757 Mb/s","32.1974389517 Mb/s"
"2016-07-30T15:00:20.606557","83.6862789379 Mb/s","43.6380750224 Mb/s"
"2016-07-30T15:30:19.901472","57.0001306331 Mb/s","40.192036166 Mb/s"
"2016-07-30T16:00:41.822292","81.9085452992 Mb/s","35.5805416856 Mb/s"
"2016-07-30T16:30:21.230026","175.367356849 Mb/s","58.1089710369 Mb/s"
"2016-07-30T17:00:25.910891","89.8789587891 Mb/s","43.1441912476 Mb/s"
"2016-07-30T17:30:19.298437","166.31470221 Mb/s","69.2022878073 Mb/s"
"2016-07-30T18:00:49.689286","52.4577586959 Mb/s","41.2099223752 Mb/s"
"2016-07-30T18:30:25.975947","165.686023665 Mb/s","38.757975453 Mb/s"
"2016-07-30T19:00:26.783809","82.721893115 Mb/s","42.4114591462 Mb/s"
"2016-07-30T19:30:20.956902","154.859265247 Mb/s","42.9929343906 Mb/s"
"2016-07-30T20:00:42.352504","73.8264058238 Mb/s","33.5205196442 Mb/s"
"2016-07-30T20:30:36.982487","56.699706071 Mb/s","39.9360712798 Mb/s"
"2016-07-30T21:00:27.430559","144.986632741 Mb/s","37.4371677542 Mb/s"
"2016-07-30T21:30:41.649622","76.0836886548 Mb/s","36.4378933853 Mb/s"
"2016-07-30T22:00:40.349444","89.8334161247 Mb/s","40.0326227122 Mb/s"
"2016-07-30T22:30:43.963200","82.6111373123 Mb/s","33.7005517668 Mb/s"
