date,size,time,hash
"2016-08-01T00:01:33.642296","0 MiB","93.28","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T01:02:09.401066","0 MiB","128.56","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T02:01:56.391032","0 MiB","115.83","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T03:02:08.711016","0 MiB","127.58","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T04:02:02.945184","0 MiB","122.22","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T05:01:45.455347","0 MiB","105.02","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T06:01:28.203393","0 MiB","87.06","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T07:01:45.395434","0 MiB","104.50","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T08:01:34.506113","0 MiB","94.27","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T09:01:59.360882","0 MiB","118.44","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T10:03:21.999984","0 MiB","201.31","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T11:02:01.723427","0 MiB","121.47","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T12:03:00.107343","0 MiB","179.07","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T13:01:55.151862","0 MiB","114.66","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T14:01:37.737725","0 MiB","97.10","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T15:02:21.592060","0 MiB","140.68","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T16:01:52.945923","0 MiB","112.45","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T17:02:07.889564","0 MiB","127.63","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T18:01:36.981830","0 MiB","96.31","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T19:01:51.758641","0 MiB","111.28","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T20:02:08.003168","0 MiB","127.13","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T21:01:47.884913","0 MiB","107.27","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T22:02:00.969544","0 MiB","119.93","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T23:02:08.369538"," 142.54 KiB ","127.68","bbe22b8594bd773f3b3346b621bbcc6619789a2b"
"2016-08-02T00:02:07.590073"," 1.07 MiB ","127.23","d384b8a13b243316d7429d25b2fdc9e625c83ccf"
