date,size,time,hash
"2016-08-01T00:00:18.590935","0 MiB","18.23","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T01:00:17.559347","0 MiB","16.72","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T02:00:18.308823","0 MiB","17.75","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T03:00:20.733656","0 MiB","19.59","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T04:00:17.191423","0 MiB","16.46","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T05:00:17.429556","0 MiB","17.00","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T06:00:20.364821","0 MiB","19.23","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T07:00:21.402344","0 MiB","20.51","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T08:00:19.666826","0 MiB","19.43","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T09:00:17.762242","0 MiB","16.83","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T10:00:17.280199","0 MiB","16.59","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T11:00:17.070053","0 MiB","16.81","1e7425ce6f633ccf78b9f7af24487186e0f04342"
"2016-08-01T12:01:13.666862","0 MiB","72.67","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T13:01:17.744917","0 MiB","77.22","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T14:00:36.688813","0 MiB","36.05","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T15:00:38.789198","0 MiB","37.86","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T16:01:18.143101","0 MiB","77.63","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T17:01:17.635358","0 MiB","77.35","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T18:00:23.139291","0 MiB","22.44","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T19:00:23.633400","0 MiB","23.12","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T20:00:23.006301","0 MiB","22.11","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T21:00:24.680550","0 MiB","24.05","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T22:00:22.561489","0 MiB","21.53","7d62797dcd13a448f4261b44b1b53818e174a118"
"2016-08-01T23:01:16.283027"," 138.73 KiB ","75.58","bbe22b8594bd773f3b3346b621bbcc6619789a2b"
"2016-08-02T00:01:20.814952"," 1.28 MiB ","80.44","d821fedb185f0e1da41dd10da92a6b20d91926bf"
"2016-08-02T01:01:17.722087"," 1.16 MiB ","76.69","dd1785fd2c9d4ad7bfa3fe89abb22781aa3f8d83"
"2016-08-02T02:00:39.670993"," 1.33 MiB ","39.22","9d0c5f494f7d2eb99152307c990cbc1c5e50fa3e"
"2016-08-02T03:00:41.165358"," 1.65 MiB ","39.99","98661c3e4f18f4df3be2b4d5bd06db63af7e79ce"
"2016-08-02T04:01:22.245348"," 2.38 MiB ","81.45","8a81157937476981c3a52774a8f4ad333b7b0f68"
"2016-08-02T05:01:28.473150","0 MiB","87.54","29e5ab955b9cc64c4140a55befabb5c665526e30"
"2016-08-02T06:01:57.500729"," 1.68 MiB ","117.00","bb31fa2dc44dd665a9f20fec49dbcbf932d9a568"
"2016-08-02T07:02:12.529559"," 1.59 MiB ","131.37","f302bb0aca4ca1d76ce69524e89c0ffa1a056101"
"2016-08-02T08:00:41.061757"," 1.68 MiB ","40.49","caa888817e35dbcd3f61b7be3853c934171844d4"
"2016-08-02T09:00:40.154656"," 1.63 MiB ","39.05","caa888817e35dbcd3f61b7be3853c934171844d4"
"2016-08-02T10:01:23.356103"," 1.21 MiB ","82.82","caa888817e35dbcd3f61b7be3853c934171844d4"
"2016-08-02T11:01:19.939564"," 1.14 MiB ","79.65","7e0bba9cc56ba439bc1e7851765d7b284051c690"
"2016-08-02T12:01:18.993084"," 1.19 MiB ","78.64","7e0bba9cc56ba439bc1e7851765d7b284051c690"
"2016-08-02T13:01:19.758191"," 797.75 KiB ","78.36","7e0bba9cc56ba439bc1e7851765d7b284051c690"
"2016-08-02T14:00:37.989454"," 677.52 KiB ","37.64","059ba8d4f232a2f0b654d2fb9bf7fbb0326bb476"
"2016-08-02T15:00:38.628025"," 725.47 KiB ","37.74","059ba8d4f232a2f0b654d2fb9bf7fbb0326bb476"
"2016-08-02T16:01:21.490716"," 1.08 MiB ","81.12","059ba8d4f232a2f0b654d2fb9bf7fbb0326bb476"
"2016-08-02T17:01:18.788051","0 MiB","78.44","059ba8d4f232a2f0b654d2fb9bf7fbb0326bb476"
"2016-08-02T18:01:19.383569","0 MiB","78.32","059ba8d4f232a2f0b654d2fb9bf7fbb0326bb476"
"2016-08-02T19:01:18.804892","0 MiB","78.21","059ba8d4f232a2f0b654d2fb9bf7fbb0326bb476"
"2016-08-02T20:00:22.674830","0 MiB","22.37","059ba8d4f232a2f0b654d2fb9bf7fbb0326bb476"
"2016-08-02T21:00:25.183236","0 MiB","24.04","059ba8d4f232a2f0b654d2fb9bf7fbb0326bb476"
"2016-08-02T22:01:19.620291","0 MiB","78.49","9355d806d0fcd9d8b09bb1f8d6753d1da51f6c99"
"2016-08-02T23:01:19.026973"," 492.36 KiB ","78.81","49d028b5e4e8b284c7d72666102d025117e926f3"
"2016-08-03T00:01:20.217412"," 1.36 MiB ","79.04","bd51ec99c24f1054d165eb518f5d7eb796a5363a"
"2016-08-03T01:01:19.204143"," 2.34 MiB ","78.36","f83bdc77a9989c7d8671d8e79c4a13f4a1980357"
"2016-08-03T02:00:38.048797"," 2.75 MiB ","37.82","67c4ff172fd14d14f420adadc576e9736b747052"
"2016-08-03T03:01:05.001584"," 3.28 MiB ","63.99","24719ef2eb5279ed0630301759433c46553c41c5"
"2016-08-03T04:01:25.383229"," 3.35 MiB ","84.62","fbfe4cb960a91499a042d0c051e2bc9e7dba01e1"
"2016-08-03T05:01:35.961320"," 3.85 MiB ","95.76","71f407ede17d264744ca7fb30fde9d0e1d87d699"
"2016-08-03T06:02:01.134764"," 3.79 MiB ","120.38","1767235429dbf8b60d87499fc3199d7a3653bdba"
"2016-08-03T07:01:29.190471"," 3.09 MiB ","88.56","6cb06015ee8dae545f64d6dbec5cfd37402b1eb7"
"2016-08-03T08:00:45.057554"," 3.26 MiB ","44.71","6fbeff3b77716816e8bb4e0be08cf8f2520a60bb"
"2016-08-03T09:00:45.442434"," 2.64 MiB ","44.66","6fbeff3b77716816e8bb4e0be08cf8f2520a60bb"
"2016-08-03T10:01:36.117491"," 975.37 KiB ","95.83","b2309889ec3785a1f3496fef32e96aff5e483b44"
"2016-08-03T11:01:19.991726"," 575.14 KiB ","78.99","b2309889ec3785a1f3496fef32e96aff5e483b44"
"2016-08-03T12:01:19.123190"," 650.86 KiB ","78.61","207038f6ba0bb5bc178e184a391a09b3d58d6fd3"
"2016-08-03T13:01:18.936729"," 681.77 KiB ","77.75","ef8822a94d9b9550e046f756823614b2975d27aa"
"2016-08-03T23:01:19.204787"," 1.08 MiB ","78.40","3ef167afeb7739e9ef4df261d8a190fd350d52dc"
"2016-08-04T00:01:21.673510"," 1.18 MiB ","81.07","05bdf0d07e821c749ac203341009d9b36ae1f043"
"2016-08-04T01:01:21.091033"," 1.27 MiB ","80.73","89879ba311c2930f7c987b0f53ed6c29282547cb"
"2016-08-04T02:00:38.602214"," 2.65 MiB ","38.24","2f71202bc802d8412b0b2a0f11be14fe91f375f7"
"2016-08-04T03:00:41.749344"," 2.98 MiB ","40.60","56316c494366c5ae6f76e66fd44d2819e9bb3dd5"
"2016-08-04T04:01:22.286702"," 3.00 MiB ","81.26","4f8f54861d3f330f1cca3a3b8238751b544a7e47"
"2016-08-04T05:01:22.205625"," 2.08 MiB ","81.37","790942a82f8b2e307896e95e5eb85b971da3218a"
"2016-08-04T06:01:20.769322"," 1.85 MiB ","80.08","790942a82f8b2e307896e95e5eb85b971da3218a"
"2016-08-04T07:01:21.890846"," 1.64 MiB ","81.50","45b9009d58ab636b31963fe93dedfb5172484990"
"2016-08-04T08:00:37.638241"," 1.59 MiB ","37.27","566807ada62a4b7fdc30974710fc8e0b015ab33d"
"2016-08-04T09:00:39.482446"," 1.35 MiB ","39.26","6566a15ca4881dd426c5ce631e567bf50cffeb4d"
"2016-08-04T10:01:23.231628"," 1.27 MiB ","82.69","6566a15ca4881dd426c5ce631e567bf50cffeb4d"
"2016-08-04T11:01:23.539073"," 294.34 KiB ","82.68","6566a15ca4881dd426c5ce631e567bf50cffeb4d"
"2016-08-04T12:01:22.984398"," 661.21 KiB ","82.13","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T13:01:24.651023"," 515.05 KiB ","84.31","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T14:00:37.732893"," 492.36 KiB ","37.32","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T15:00:40.830602","0 MiB","39.61","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T16:01:22.425276","0 MiB","81.77","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T17:01:23.251244","0 MiB","83.02","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T18:00:23.454581","0 MiB","22.67","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T19:00:23.244788","0 MiB","22.75","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T20:00:22.833811","0 MiB","22.62","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T21:00:24.277687","0 MiB","23.33","786625041a84381ecdbd6289014dd56a669ba452"
"2016-08-04T22:01:19.407979","0 MiB","78.73","041e68afe06ace5ffa5ae4d85d8448be3d06d59b"
"2016-08-04T23:01:23.018213"," 294.99 KiB ","82.84","03363a912099c0e3acd51a97638be5721e04f853"
"2016-08-05T00:01:23.146059"," 1.19 MiB ","82.27","ea89e05db4cab3a1cea8526a89453e07fdc14d7b"
"2016-08-05T01:01:27.137790"," 1.40 MiB ","86.53","10830aed1e15aaa2c18f44a170c5a103a9ba7465"
"2016-08-05T02:00:41.842702"," 2.06 MiB ","41.61","fe7647ea055a6337f56e8d8fdccff9e5df6dc4fa"
"2016-08-05T03:00:42.080415"," 2.91 MiB ","41.19","48b44ed8f59d15923b814d77cd8d7ccbf3550a29"
"2016-08-05T04:01:24.218872"," 2.87 MiB ","83.71","eafaaa455e902f8db69a2004861d05a75fe614e5"
"2016-08-05T05:01:25.386724"," 3.25 MiB ","85.18","bd14ac8e0b82a2308d5d1fd445f41041c28de3a4"
"2016-08-05T06:01:25.154661"," 2.75 MiB ","84.34","ca99d6512c18c2f99e9a5f519a66b8f8c7c75b56"
"2016-08-05T07:01:24.992299"," 3.10 MiB ","84.48","47bdd08ceb18f452c0a029431c591ce9021756e0"
"2016-08-05T08:00:40.063878"," 2.18 MiB ","38.91","47bdd08ceb18f452c0a029431c591ce9021756e0"
"2016-08-05T09:00:41.625101"," 1.75 MiB ","40.78","47bdd08ceb18f452c0a029431c591ce9021756e0"
"2016-08-05T10:01:22.895598"," 1.02 MiB ","82.33","47bdd08ceb18f452c0a029431c591ce9021756e0"
"2016-08-05T11:01:24.793497"," 838.38 KiB ","84.41","fefb24cbce17ac1a73ab39a8bb6dcdb8759230c9"
"2016-08-05T12:01:25.334163"," 564.20 KiB ","84.32","fefb24cbce17ac1a73ab39a8bb6dcdb8759230c9"
"2016-08-05T13:01:24.080494","0 MiB","83.59","fefb24cbce17ac1a73ab39a8bb6dcdb8759230c9"
"2016-08-05T14:00:39.985545"," 271.49 KiB ","38.97","56eb2042504df0fb98edee7cfd721afcb5a4836e"
"2016-08-05T15:00:40.606407"," 271.49 KiB ","40.13","56eb2042504df0fb98edee7cfd721afcb5a4836e"
"2016-08-05T16:01:23.472268"," 752.71 KiB ","82.54","56eb2042504df0fb98edee7cfd721afcb5a4836e"
"2016-08-05T17:01:24.875325"," 238.94 KiB ","84.52","0107e4099b2e13955dc7649bcb9df2dce4c61897"
"2016-08-05T18:01:24.316606"," 304.80 KiB ","83.57","91c879315f6d9b2a909654dbe6797dde336c7658"
"2016-08-05T19:01:24.095551"," 449.24 KiB ","83.79","91c879315f6d9b2a909654dbe6797dde336c7658"
"2016-08-05T20:00:40.019131"," 578.15 KiB ","38.87","91c879315f6d9b2a909654dbe6797dde336c7658"
"2016-08-05T21:00:41.904597"," 674.51 KiB ","41.25","91c879315f6d9b2a909654dbe6797dde336c7658"
"2016-08-05T22:01:23.821774"," 986.93 KiB ","83.44","b053318dcb4dd7caaf3aa7363de85ff2ca9be6d2"
"2016-08-05T23:01:26.816707"," 1.20 MiB ","85.74","d2c4516673e2c740b44e25f903a2719e7ec337db"
"2016-08-06T00:01:25.371563"," 971.39 KiB ","84.71","8cd747dd923a7e40e1ed75410453c4d5f4ee6d2f"
"2016-08-06T01:01:25.561529"," 1.62 MiB ","85.26","ca8518c6c7aeebe3400a36d4267a6a25cb49beb7"
"2016-08-06T02:00:41.787825"," 1.12 MiB ","40.86","b7716d402d83c452c0b36a17fa54ba86f03664ec"
"2016-08-06T03:00:43.070089"," 1.22 MiB ","42.63","1c87509849f344241b2318013a78bcd44f432be6"
"2016-08-06T04:01:25.807116"," 1.72 MiB ","84.82","d8de541093d5d32a991f5a474bd3378331198b73"
"2016-08-06T05:01:27.694738"," 2.14 MiB ","87.10","52b5d94e18ebb143de13fe9951a97f8ac4fe7224"
"2016-08-06T06:01:50.780471"," 1.68 MiB ","110.56","03f08e4b21f6400cdd0ab6a61f2ff643d6845112"
"2016-08-06T07:01:31.316686"," 1.72 MiB ","90.48","cd24a2bb9a5f9a36e26c51a4d0141e06608ae7e6"
